Source,Target,Frequency per week,,Distance (Km)
Bagdogra,Delhi,48,,1125.225647
Bangalore,Delhi,191,,1737.515759
Bathinda,Delhi,3,,296.7123327
Bhopal,Delhi,34,,587.5748137
Bhubaneshwar,Delhi,29,,1277.805416
Bikaner,Delhi,7,,386.6289889
Calicut,Delhi,3,,1941.803044
Chandigarh,Delhi,80,,236.1349492
Chennai,Delhi,77,,1769.138468
Raipur,Delhi,11,,944.9331987
Cochin,Delhi,56,,2048.959099
Coimbatore,Delhi,14,,1950.035422
Dehradun,Delhi,32,,208.4654851
Dharamshala,Delhi,8,,408.1651206
Goa,Delhi,81,,1504.285383
Gorakhpur,Delhi,14,,657.2062394
Guwahati,Delhi,72,,1455.540286
Gwalior,Delhi,3,,276.1549432
Hyderabad,Delhi,124,,1243.653871
Imphal,Delhi,7,,1719.978076
Indore,Delhi,46,,662.1616943
Jabalpur,Delhi,14,,667.8435539
Jaipur,Delhi,29,,231.7689718
Jaisalmer,Delhi,7,,641.6051984
Jammu,Delhi,50,,506.9978052
Jharsuguda,Delhi,7,,1017.084109
Jodhpur,Delhi,21,,475.8269891
Kangra,Delhi,6,,408.1101248
Kannur,Delhi,8,,1858.417151
Kanpur,Delhi,7,,399.2033623
Kishangarh,Delhi,7,,314.8099276
Kolkata,Delhi,142,,1312.72301
Kullu,Delhi,21,,368.0878069
Leh,Delhi,29,,621.4520169
Lucknow,Delhi,77,,423.462071
Ludhiana,Delhi,4,,277.593602
Mangalore,Delhi,7,,1750.36152
Mumbai,Delhi,328,,1138.242189
Nagpur,Delhi,42,,854.354056
Pathankot,Delhi,3,,431.3578436
Patna,Delhi,128,,856.7559407
Patnagar,Delhi,4,,856.7559407
Port Blair,Delhi,3,,2485.090816
Pune,Delhi,107,,1156.517653
Raipur,Delhi,14,,944.9331987
Rajkot,Delhi,15,,941.5917479
Ranchi,Delhi,70,,1007.78061
Shimla,Delhi,7,,279.6756152
Shirdi,Delhi,14,,1024.264789
Srinagar,Delhi,74,,641.9732455
Surat,Delhi,29,,938.0763735
Thoise,Delhi,2,,677.2249569
Trivandrum,Delhi,14,,2233.27681
