Airport Names	Airport(Arrival)	Frequency per week
Mumbai	Jammnagar	7
Mumbai	Jodhpur	28
Mumbai	Kannur	7
Mumbai	Kanpur	28
Mumbai	Kolhapur	5
Mumbai	Kolkata	178
Mumbai	Lucknow	49
Mumbai	Madurai	7
Mumbai	Mangalore	28
Mumbai	Nagpur	58
Mumbai	Nanded	7
Mumbai	Patna	70
Mumbai	Porbandar	7
Mumbai	Port Blair	7
Mumbai	Raipur	14
Mumbai	Rajkot	18
Mumbai	Ranchi	29
Mumbai	Shirdi	7
Mumbai	Srinagar	107
Mumbai	Surat	7
Mumbai	Trivandrum	30
Mumbai	Udaipur	35
Mumbai	Vadodara	21
Mumbai	Varanashi	43
Mumbai	Visakhapatnam	12
Nagpur	Ahmedabad	7
Nagpur	Amritsar	2
Nagpur	Bangalore	28
Nagpur	Bhopal	7
Nagpur	Chandigarh	2
Nagpur	Chennai	7
Nagpur	Raipur	3
Nagpur	Delhi	84
Nagpur	Goa	14
Nagpur	Hyderabad	7
Nagpur	Indore	15
Nagpur	Kolkata	21
Nagpur	Lucknow	1
Nagpur	Mumbai	57
Nagpur	Patna	7
Nagpur	Pune	40
Nagpur	Raipur	7
Pune	Ahmedabad	41
Pune	Bangalore	117
Pune	Belagavi	6
Pune	Bhopal	6
Pune	Chandigarh	3
Pune	Chennai	42
Pune	Cochin	13
Pune	Coimbatore	7
Pune	Delhi	167
Pune	Goa	19
Pune	Hyderabad	34
Pune	Jaipur	22
Pune	Jodhpur	6
Pune	Kolkata	47
Pune	Lucknow	7
Pune	Nagpur	27
Pune	Nashik	7
Shirdi	Bangalore	19
Shirdi	Chennai	14
Shirdi	Delhi	14
Shirdi	Hyderabad	31
Shirdi	Indore	7
Shirdi	Mumbai	7
Nashik	Ahmedabad	12
Nashik	Hyderabad	7
Nashik	Pune	3
Nanded	Hyderabad	7
Nanded	Mumbai	7
Jalgaon	Ahmedabad	7
Jalgaon	Mumbai	5
Port Blair	Bangalore	7
Port Blair	Chennai	27
Port Blair	Delhi	6
Port Blair	Hyderabad	7
Port Blair	Kolkata	38
Port Blair	Visakhapatnam	5
Jagdalpur	Hyderabad	7
Jagdalpur	Raipur	7
Raipur	Ahmedabad	7
Raipur	Allahabad	21
Raipur	Bangalore	14
Raipur	Bhopal	7
Raipur	Chennai	7
Raipur	Delhi	42
Raipur	Hyderabad	28
Raipur	Indore	14
Raipur	Jagdalpur	7
Raipur	Jharsuguda	7
Raipur	Kolkata	21
Raipur	Mumbai	14
Raipur	Ranchi	7
Cuddapah	Belagavi	7
Cuddapah	Chennai	7
Cuddapah	Hyderabad	7
Cuddapah	Vijaywada	7
Rajahmundry	Bangalore	14
Rajahmundry	Chennai	7
Rajahmundry	Hyderabad	49
Rajahmundry	Visakhapatnam	7
Tirupathi	Bangalore	7
Tirupathi	Belagavi	7
Tirupathi	Cochin	6
Tirupathi	Delhi	7
Tirupathi	Hubli	7
